year,month,day,hour,minute,lat,lon,elevation,device,raw,floor
2023,11,13,13,39,42.3603,-71.0893,,mit,3836.73,2
2023,11,13,13,49,42.3603,-71.0893,,mit,3835.6,3
2023,11,13,13,56,42.3603,-71.0893,,mit,3834.61,4
2023,11,13,14,3,42.3603,-71.0893,,mit,3833.76,5
2023,11,13,14,10,42.3603,-71.0893,,mit,3832.52,6
2023,11,13,14,14,42.3603,-71.0893,,mit,3831.6,7
2023,11,13,14,18,42.3603,-71.0893,,mit,3830.51,8
2023,11,13,14,22,42.3603,-71.0893,,mit,3829.53,9
2023,11,13,14,26,42.3603,-71.0893,,mit,3828.55,10
2023,11,13,14,31,42.3603,-71.0893,,mit,3827.56,11
2023,11,13,14,37,42.3603,-71.0893,,mit,3826.48,12
2023,11,13,14,41,42.3603,-71.0893,,mit,3825.55,13
2023,11,13,14,45,42.3603,-71.0893,,mit,3824.53,14
2023,11,13,14,51,42.3603,-71.0893,,mit,3823.39,15
2023,11,13,14,54,42.3603,-71.0893,,mit,3822.34,16
2023,11,13,14,58,42.3603,-71.0893,,mit,3821.33,17
2023,11,13,15,2,42.3603,-71.0893,,mit,3820.52,18
